,error message,script,time_stamp,timestamp
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id=""react-root""]/section/main/article/div[2]/div[1]/div[15]/div[1]/a/div""}
  (Session info: chrome=63.0.3239.108)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.16299 x86_64)
, line: 370",Liking people who liked us script,2018-01-03 19:46:19.760342,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id=""react-root""]/section/main/article/div[2]/div[1]/div[15]/div[1]/a/div""}
  (Session info: chrome=63.0.3239.108)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.16299 x86_64)
, line: 370",Liking people who liked us script,2018-01-03 19:47:45.376105,
0,"<class 'selenium.common.exceptions.WebDriverException'>, Message: unknown error: cannot create default profile directory
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.16299 x86_64)
, line: 134",Follow Famous people followers,2018-01-03 22:01:47.980670,
0,"<class 'ValueError'>, invalid literal for int() with base 10: '712 following', line: 199",new FOLLOW script,2018-01-04 03:09:57.083128,
0,"<class 'selenium.common.exceptions.TimeoutException'>, Message: timeout
  (Session info: chrome=63.0.3239.108)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.16299 x86_64)
, line: 374",Liking people who liked us script,2018-01-04 13:50:27.022772,
0,,Follow and like by tag,2018-01-04 14:15:27.102222,
0,"<class 'ValueError'>, invalid literal for int() with base 10: '616 following', line: 199",new FOLLOW script,2018-01-04 17:05:33.714028,
0,,Follow and like by tag,2018-01-04 17:34:52.288857,
0,,Follow and like by tag,2018-01-04 17:43:27.844139,
0,,Follow and like by tag,2018-01-04 18:47:35.312178,
0,,Follow and like by tag,2018-01-04 22:34:55.630307,
0,,Follow and like by tag,2018-01-05 09:43:17.899508,
