,error message,script,time_stamp
0,"Message: unknown error: Element <a class=""_t98z6"" href=""/linethmm/followers/"">...</a> is not clickable at point (453, 203). Other element would receive the click: <a class=""_gimca"" href=""/alondrauribe95/"">...</a>
  (Session info: chrome=63.0.3239.84)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.14393 x86_64)
",new FOLLOW script,2017-12-24 11:20:50.859797
0,pickle data was truncated,new FOLLOW script,2017-12-24 11:23:13.121643
0,list index out of range,new FOLLOW script,2017-12-24 12:44:36.561826
0,list index out of range,new FOLLOW script,2017-12-24 13:06:28.269793
0,list index out of range,new FOLLOW script,2017-12-24 14:06:58.204765
0,pickle data was truncated,Follow Famous people followers,2017-12-24 14:45:17.875023
0,"Message: unknown error: Chrome failed to start: crashed
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.14393 x86_64)
",Valeria new unfollowing script,2017-12-24 16:10:29.741756
0,"Message: unknown error: Chrome failed to start: crashed
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.14393 x86_64)
",Valeria new unfollowing script,2017-12-24 16:11:37.731695
0,list index out of range,new FOLLOW script,2017-12-24 17:38:07.472446
0,Ran out of input,Follow Famous people followers,2017-12-24 21:30:07.547085
0,pickle data was truncated,new FOLLOW script,2017-12-24 21:47:39.040687
0,"Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""_oznku""}
  (Session info: chrome=63.0.3239.84)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.14393 x86_64)
",Unfollow from Pickle,2017-12-24 22:00:07.290385
0,"Message: unknown error: Chrome failed to start: crashed
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.14393 x86_64)
",Valeria new unfollowing script,2017-12-24 22:48:55.905560
0,"Message: unknown error: Chrome failed to start: crashed
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.14393 x86_64)
",Valeria new unfollowing script,2017-12-24 22:50:04.091434
0,list index out of range,Follow Famous people followers,2017-12-25 01:57:10.539154
0,pickle data was truncated,Valeria new unfollowing script,2017-12-25 02:35:35.665652
0,Ran out of input,Valeria new unfollowing script,2017-12-25 03:13:51.185386
0,"Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""_oznku""}
  (Session info: chrome=63.0.3239.84)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.14393 x86_64)
",Unfollow from Pickle,2017-12-25 04:10:25.632740
0,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id=""react-root""]/section/main/article/header/section/ul/li[2]/a""}
  (Session info: chrome=63.0.3239.84)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.14393 x86_64)
",new FOLLOW script,2017-12-25 08:22:36.115462
0,"Message: unknown error: Chrome failed to start: crashed
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.14393 x86_64)
",Valeria new unfollowing script,2017-12-25 08:26:53.315415
0,list index out of range,new FOLLOW script,2017-12-25 11:44:36.378725
0,pickle data was truncated,Follow and like by tag,2017-12-25 12:44:31.211557
0,list index out of range,new FOLLOW script,2017-12-25 13:23:18.792732
0,,new FOLLOW script,2017-12-26 14:41:37.696637
0,,new FOLLOW script,2017-12-27 01:47:38.763747
0,,Valeria new unfollowing script,2017-12-27 07:14:25.660357
0,,Valeria new unfollowing script,2017-12-27 07:15:33.585402
0,,new FOLLOW script,2017-12-27 08:07:40.859478
0,,new FOLLOW script,2017-12-27 13:00:37.402331
