,error message,script,time_stamp,timestamp
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""coreSpriteRightPaginationArrow""}
  (Session info: chrome=67.0.3396.99)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 150",Like by hashtag,2018-07-18 21:59:16.065035,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""coreSpriteRightPaginationArrow""}
  (Session info: chrome=67.0.3396.99)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 140",Like by hashtag,2018-07-18 22:10:30.805406,
0,"<class 'TypeError'>, 'str' object is not callable, line: 138",Like by hashtag,2018-07-18 22:17:40.646999,
0,"<class 'TypeError'>, 'str' object is not callable, line: 138",Like by hashtag,2018-07-18 22:20:46.039863,
0,"<class 'TypeError'>, 'str' object is not callable, line: 138",Like by hashtag,2018-07-18 22:29:33.376539,
0,"<class 'selenium.common.exceptions.TimeoutException'>, Message: timeout
  (Session info: chrome=67.0.3396.99)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 138",Like by hashtag,2018-07-18 22:41:56.728356,
