,error message,script,time_stamp,timestamp
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""HBoOv""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.16299 x86_64)
, line: 156",Follow and like by tag,2018-06-02 17:39:25.586777,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""HBoOv""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.16299 x86_64)
, line: 157",Follow and like by tag,2018-06-02 18:03:56.605556,
0,"<class '_pickle.UnpicklingError'>, pickle data was truncated, line: 153",Follow Famous people followers,2018-06-02 20:15:42.198138,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""HBoOv""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.16299 x86_64)
, line: 158",Follow and like by tag,2018-06-02 20:29:26.483594,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""HBoOv""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.16299 x86_64)
, line: 158",Follow and like by tag,2018-06-02 21:21:00.432698,
0,"<class 'selenium.common.exceptions.StaleElementReferenceException'>, Message: stale element reference: element is not attached to the page document
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.16299 x86_64)
, line: 91",Unfollow from Pickle,2018-06-03 04:36:19.752065,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id=""react-root""]/section/main/div/header/section/ul/li[1]/span/span""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.16299 x86_64)
, line: 153",Follow Famous people followers,2018-06-03 07:48:53.532374,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""HBoOv""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.16299 x86_64)
, line: 158",Follow and like by tag,2018-06-03 08:24:24.281366,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""HBoOv""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.16299 x86_64)
, line: 161",Follow and like by tag,2018-06-03 10:38:58.588814,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""HBoOv""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.16299 x86_64)
, line: 161",Follow and like by tag,2018-06-03 11:18:53.714593,
0,"<class 'EOFError'>, Ran out of input, line: 159",Follow Famous people followers,2018-06-03 19:42:24.087158,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""HBoOv""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.16299 x86_64)
, line: 161",Follow and like by tag,2018-06-03 19:46:19.515459,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""HBoOv""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.16299 x86_64)
, line: 161",Follow and like by tag,2018-06-03 23:42:01.393142,
0,"<class '_pickle.UnpicklingError'>, pickle data was truncated, line: 159",Follow Famous people followers,2018-06-04 02:35:37.171782,
0,"<class 'selenium.common.exceptions.StaleElementReferenceException'>, Message: stale element reference: element is not attached to the page document
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.16299 x86_64)
, line: 91",Unfollow from Pickle,2018-06-04 04:40:22.267579,
0,"<class 'selenium.common.exceptions.WebDriverException'>, Message: unknown error: Element <div class=""eLAPa"" role=""button"">...</div> is not clickable at point (160, 581). Other element would receive the click: <div class=""jLwSh"" role=""dialog""></div>
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 158",Follow and like by tag,2018-06-04 08:38:45.695125,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""HBoOv""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 161",Follow and like by tag,2018-06-04 16:26:32.669465,
0,"<class 'IndexError'>, list index out of range, line: 158",Follow Famous people followers,2018-06-04 17:55:35.005143,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""HBoOv""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 161",Follow and like by tag,2018-06-04 19:03:29.323366,
0,"<class 'httplib2.ServerNotFoundError'>, Unable to find the server at accounts.google.com, line: 100",new FOLLOW script,2018-06-04 19:27:00.918965,
0,"<class 'selenium.common.exceptions.TimeoutException'>, Message: timeout
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 159",Follow Famous people followers,2018-06-04 20:03:07.222320,
0,"<class 'selenium.common.exceptions.WebDriverException'>, Message: unable to set cookie
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 53",new FOLLOW script,2018-06-04 20:27:39.174826,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id=""react-root""]/section/nav/div[2]/div/div/div[2]/input""}
  (Session info: chrome=67.0.3396.62)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 158",Follow Famous people followers,2018-06-05 11:08:11.453520,
