,error message,script,time_stamp,timestamp
0,"<class 'IndexError'>, list index out of range, line: 122",FOLLOW friends of friends script,2018-07-18 23:05:07.998702,
0,"<class 'IndexError'>, list index out of range, line: 122",FOLLOW friends of friends script,2018-07-18 23:06:13.370027,
0,"<class 'IndexError'>, list index out of range, line: 122",FOLLOW friends of friends script,2018-07-18 23:07:14.436852,
0,"<class 'NameError'>, name 'Keys' is not defined, line: 125",FOLLOW friends of friends script,2018-07-19 07:31:39.142654,
0,"<class 'NameError'>, name 'Keys' is not defined, line: 125",FOLLOW friends of friends script,2018-07-19 07:32:09.425265,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""FPmhX""}
  (Session info: chrome=67.0.3396.99)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 130",FOLLOW friends of friends script,2018-07-19 07:35:01.855954,
0,"<class 'httplib2.ServerNotFoundError'>, Unable to find the server at accounts.google.com, line: 100",new FOLLOW script,2018-07-19 07:35:53.767005,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""../../../../div[2]/span""}
  (Session info: chrome=67.0.3396.99)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 130",FOLLOW friends of friends script,2018-07-19 08:14:21.553160,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""../../../../div[2]/span""}
  (Session info: chrome=67.0.3396.99)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 130",FOLLOW friends of friends script,2018-07-19 08:16:12.591664,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""../../../../div[2]/span""}
  (Session info: chrome=67.0.3396.99)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 130",FOLLOW friends of friends script,2018-07-19 08:18:09.625098,
0,"<class 'IndexError'>, list index out of range, line: 193",Liking peoples pictures who liked us,2018-07-19 10:02:43.304630,
0,"<class 'IndexError'>, list index out of range, line: 193",Liking peoples pictures who liked us,2018-07-19 10:32:13.375137,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""_5f5mN""}
  (Session info: chrome=67.0.3396.99)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 116",Unfollow from Pickle,2018-07-19 10:40:18.651414,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""_5f5mN""}
  (Session info: chrome=67.0.3396.99)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 116",Unfollow from Pickle,2018-07-19 10:40:51.797714,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""_5f5mN""}
  (Session info: chrome=67.0.3396.99)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 116",Unfollow from Pickle,2018-07-19 10:41:22.155184,
0,"<class 'IndexError'>, list index out of range, line: 193",Liking peoples pictures who liked us,2018-07-19 15:16:57.708443,
0,"<class 'IndexError'>, list index out of range, line: 193",Liking peoples pictures who liked us,2018-07-19 15:39:29.535731,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""coreSpriteRightPaginationArrow""}
  (Session info: chrome=67.0.3396.99)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 137",Like by hashtag,2018-07-19 17:04:54.758379,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""AC5d8""}
  (Session info: chrome=67.0.3396.99)
  (Driver info: chromedriver=2.37.544315 (730aa6a5fdba159ac9f4c1e8cbc59bf1b5ce12b7),platform=Windows NT 10.0.17134 x86_64)
, line: 137",Like by hashtag,2018-07-19 19:20:43.360143,
