,error message,script,time_stamp,timestamp
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""class name"",""selector"":""_oznku""}
  (Session info: chrome=63.0.3239.84)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.14393 x86_64)
, line: 346",Liking people who liked us script,2018-01-01 13:57:26.394687,
0,<class 'IndexError'> list index out of range line: 207,new FOLLOW script,2018-01-03 04:48:05.959642,
0,"<class 'selenium.common.exceptions.WebDriverException'>, Message: unknown error: cannot create default profile directory
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.16299 x86_64)
, line: 91",new FOLLOW script,2018-01-03 11:26:29.754339,
0,"<class 'selenium.common.exceptions.NoSuchElementException'>, Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id=""react-root""]/section/nav/div[2]/div/div/div[3]/div/div[3]/a""}
  (Session info: chrome=63.0.3239.108)
  (Driver info: chromedriver=2.32.498550 (9dec58e66c31bcc53a9ce3c7226f0c1c5810906a),platform=Windows NT 10.0.16299 x86_64)
, line: 100",new FOLLOW script,2018-01-03 11:38:11.049842,
0,<class '_pickle.UnpicklingError'> pickle data was truncated line: 207,new FOLLOW script,2018-01-03 17:05:30.621944,
